SPK11c	num1areaSel	num1perimSel	num1radSel	num1sel	num2areaSel	num2perimSel	num2radSel	num2sel	num3areaSel	num3perimSel	num3radSel	num3sel	num4areaSel	num4perimSel	num4radSel	num4sel	num5areaSel	num5perimSel	num5radSel	num5sel	numAllSel
14.086275	1076.070000	1421.890000	1133.600000	468.200000	1659.520000	1279.300000	1219.270000	648.313000	1394.380000	1411.880000	1081.070000	400.667000	1046.050000	1544.440000	1189.250000	535.747000	1406.880000	1176.740000	1404.380000	478.220000	92.993400
14.769725	1093.590000	1454.410000	1181.750000	495.716000	1782.080000	1451.910000	1401.870000	653.316000	1444.390000	1469.410000	1111.090000	460.703000	1088.570000	1561.950000	1479.430000	538.248000	1436.900000	1314.320000	1414.370000	488.219000	95.495400
15.260100	1169.230000	1526.940000	1331.830000	530.730000	1802.100000	1534.440000	1491.930000	655.817000	1551.960000	1484.420000	1165.400000	475.718000	1121.080000	1662.020000	1486.920000	543.251000	1449.400000	1424.370000	1429.390000	503.221000	97.996400
15.985925	1174.230000	1611.990000	1399.380000	558.267000	1812.100000	1539.440000	1569.460000	658.312000	1596.990000	1494.430000	1221.770000	540.750000	1194.250000	1672.020000	1584.470000	593.280000	1466.910000	1644.500000	1439.400000	513.233000	100.498000
16.632150	1434.390000	1634.500000	1426.880000	563.263000	1864.630000	1556.960000	1599.470000	668.332000	1604.490000	1546.960000	1329.330000	548.247000	1211.760000	1692.040000	1591.990000	630.796000	1589.470000	1657.020000	1531.940000	533.252000	102.992000
18.047325	1446.890000	1684.530000	1476.910000	570.767000	1964.700000	1707.050000	1616.990000	678.330000	1709.530000	1857.140000	1396.860000	580.780000	1316.830000	1777.090000	1609.490000	633.297000	1652.010000	1737.070000	1564.460000	573.269000	105.494000
18.051075	1456.910000	1752.070000	1481.930000	585.783000	1967.190000	1722.060000	1774.590000	683.326000	1889.650000	1884.650000	1419.380000	645.811000	1566.960000	1817.100000	1639.510000	640.815000	1727.050000	1827.120000	1576.970000	575.763000	107.995000
18.874900	1471.910000		1586.980000	595.782000	2002.210000	1859.630000	1882.150000	690.845000	1907.160000	1894.660000	1521.940000	685.828000	1581.970000	1897.140000	1772.090000	660.813000	1769.580000	1852.130000	1601.990000	583.282000	120.509000
19.138600	1474.410000		1649.510000	638.314000	2067.260000	1949.680000	1909.670000	710.843000	1944.680000	1977.210000	1614.490000	715.846000	1654.520000	1974.700000	1794.600000	663.315000	1797.100000	1927.180000	1624.510000	643.317000	123.011000
19.654475	1489.430000		1744.570000	665.816000	2104.770000	2034.750000	1914.660000	718.361000	1947.180000	2009.730000	1664.520000	735.864000	1669.520000	1984.710000	1862.130000	688.343000	2012.230000	1952.180000	1627.010000	650.814000	128.007000
19.701475	1524.440000		1854.630000	670.833000	2107.280000	2122.290000	1919.680000	755.876000	1972.200000	2079.760000	1702.040000	740.860000	1679.520000	2007.230000	1867.150000	695.848000	2092.270000	1997.210000	1632.000000	673.328000	135.511000
20.804275	1579.470000		1904.660000	675.829000				760.879000	1999.710000	2117.300000	1734.570000	748.379000	1689.540000	2024.730000	1887.150000	708.348000		2052.240000	1642.000000	680.832000	138.013000
21.197975	1594.470000		1912.170000	700.844000				765.875000	2027.230000		1799.600000	753.375000	1697.030000		1922.170000	713.365000			1667.020000	698.342000	140.507000
21.842800	1621.990000		1917.160000	738.359000				783.392000	2029.730000		1924.680000	770.878000	1842.130000		1954.680000	733.363000			1779.580000	720.842000	148.026000
22.023350	1717.050000		1934.680000	750.880000				810.908000			1969.690000	790.890000	1849.630000			743.362000			1879.650000	723.364000	150.527000
23.197275	1724.550000		2004.720000	758.378000				848.424000			2039.740000	815.911000	1899.670000			745.877000			1942.180000	773.393000	153.028000
23.975375	1767.080000		2014.730000	763.381000				880.943000			2047.250000	818.406000	1992.210000			768.377000			2032.230000	785.894000	155.523000
26.025975	1792.080000			780.891000				888.454000			2069.760000	823.409000	2017.230000			775.895000			2059.760000	825.910000	158.024000
26.484475	1892.150000			828.412000				908.459000				845.922000				778.396000			2089.780000	840.926000	160.526000
26.485725	1982.220000			850.925000				913.476000				855.942000				820.907000				843.428000	168.023000
26.892725				860.938000				928.471000				883.458000				830.927000				858.443000	173.026000
27.762825				865.941000				950.991000				885.960000				838.425000				878.441000	178.043000
27.959725				890.956000				953.492000				893.457000				853.427000				898.460000	180.545000
29.421325				903.456000				968.508000				895.958000				863.439000				905.957000	183.039000
29.607125				930.993000				973.504000				915.970000				900.954000				920.973000	190.544000
29.616150				933.488000				1001.020000				918.472000				910.974000				935.989000	200.556000
30.929925				958.488000				1026.040000				923.475000				988.520000				938.490000	208.061000
31.267200				960.990000				1071.060000				925.976000				991.007000				943.486000	215.558000
32.088425				996.024000				1073.570000				955.987000				1036.030000				971.003000	218.060000
33.184250				1006.020000				1083.570000				1003.520000				1046.050000				981.002000	220.561000
33.806775				1031.040000				1091.070000				1028.540000				1048.560000				993.523000	223.077000
35.042325				1033.540000				1136.100000				1056.050000				1051.050000				998.519000	230.574000
35.695000				1041.050000				1184.250000				1061.060000				1053.550000				1023.540000	233.076000
37.233975				1043.540000				1191.750000				1081.070000				1078.570000				1038.540000	238.072000
38.013575				1058.550000				1201.750000				1111.090000				1088.570000				1098.590000	240.573000
